Item,Closed,Pending,Resolved,Assigned,WIP,Total
SIM SWAP Request,4757,0,0,0,0,4757
Unlock PIN,2980,0,0,0,0,2980
Tier Upgrade,321,0,0,1554,0,1875
Reset Pin,1175,2,0,9,1,1187
Maximum Yearly Money In - Tier 1,625,0,0,92,0,717
Main Account,590,0,0,9,1,600
M-pesa Account Transaction,554,0,0,2,0,556
Transaction Reversal - P2P,518,1,1,14,7,541
Registration Update & Tier Upgrade,141,0,0,300,0,441
Silent Call - No Response,426,0,0,0,0,426
Time In,387,0,0,0,0,387
PUK Request,367,0,0,0,0,367
Registration Confirmed,305,0,0,48,0,353
M-Pesa Agents,313,0,0,0,0,313
Send Money P2P,302,0,0,1,0,303
Transaction Reversal P2P 100-500,278,0,0,4,0,282
Silent Call - Dropped,265,0,0,0,0,265
Eligibility,261,0,0,0,0,261
Time Out,254,0,0,0,0,254
Send Money to Unregistered Customer,249,0,0,0,0,249
Buy Credelec,224,0,0,0,0,224
Pedido de Extracto,190,15,0,15,0,220
SIM SWAP Sensitive,214,0,0,0,0,214
Receive Money,213,0,0,0,0,213
Registration Update Details & Recycle Request,73,0,0,134,0,207
New Request,184,0,0,1,0,185
Loan Balance,169,0,0,1,0,170
Cannot Make Calls,160,2,0,5,0,167
Withdraw cash,158,0,0,1,0,159
Repayment Queries,147,0,0,11,0,158
Txuna Crédito,142,0,0,1,1,144
Transaction Reversal – Voucher,141,0,0,1,0,142
Recharge - Damaged PIN,141,0,0,0,0,141
Fraud Customer to Customer (P2P),62,0,0,78,0,140
Transfer from M-Pesa to e-Mola,134,0,0,2,0,136
Registration Update Details,36,0,0,99,0,135
Main Account- Txuna Credito,131,0,0,0,1,132
Transaction Reversal – Withdraw Cash,103,2,0,9,4,118
MSISDN reactivation request,111,0,0,6,0,117
Main Account- Informação não actualizada,116,0,0,0,0,116
Recharge Voucher,115,0,0,0,0,115
Transaction Reversal P2P - Used money,100,0,0,6,1,107
Credelec Recall last Vend,107,0,0,0,0,107
Explicador 84,107,0,0,0,0,107
M-Pesa Account Activation,102,0,0,0,0,102
Cannot Receive Calls,98,1,0,2,0,101
CLIR - Caller Line Identity Restriction,97,0,0,0,0,97
Blocked PUK,96,0,0,0,0,96
Other Services,92,0,0,2,0,94
Jackpot,86,0,0,2,0,88
Registration,73,0,0,12,0,85
Call Back,82,0,0,0,0,82
Deposit Cash,81,0,0,0,0,81
Vibratoques,81,0,0,0,0,81
Barring Service,78,0,0,1,0,79
Bank Issues,78,0,0,0,0,78
Meu Número 1,76,0,0,1,0,77
No Signal,72,0,0,4,0,76
Payment Completed,73,0,0,0,0,73
Silent Call - Noisy,73,0,0,0,0,73
SIM Swap 3G-4G,72,0,0,0,0,72
Transaction Reversal Bank To M-Pesa,58,0,0,14,0,72
Cannot use the services,61,0,0,7,0,68
Agent Comission,65,0,0,1,0,66
Pay Bill,65,0,0,1,0,66
Transaction Reversal – Deposit Agent to Agent,54,0,0,10,0,64
Maximum Yearly Money In - Tier 2,58,0,0,4,0,62
M-Pesa Account Suspension,60,0,0,1,0,61
Stolen Phone,61,0,0,0,0,61
Trespasse & Recycle Request,13,0,0,48,0,61
Golden Number Request Successful,58,0,0,0,0,58
Credit transfer,55,0,0,2,0,57
Transaction Reversal below 100MT,57,0,0,0,0,57
Cannot Send SMS,53,0,0,1,0,54
Loyalty Campaign,54,0,0,0,0,54
Transfer From Bank To M-Pesa,52,0,0,0,0,52
Locking request,50,0,0,0,0,50
Resend Voucher,50,0,0,0,0,50
Callers,30,0,0,19,0,49
Transaction Reversal - M-Pesa to E-mola,41,0,0,7,0,48
M-Pesa Account Details Update,21,0,0,27,0,48
Cannot make and receive Calls,47,0,0,0,0,47
Data Bundles,43,0,0,3,0,46
Terms and Conditions,46,0,0,0,0,46
Buy airtime,46,0,0,0,0,46
Not Credited,45,0,0,0,0,45
Main Account  - Serviços de conteúdos,44,0,0,0,0,44
M-Pesa account suspension by Validation,43,0,0,0,0,43
Conta Xitique,42,0,0,0,0,42
PIN Request,42,0,0,0,0,42
Quote request,41,0,0,0,0,41
Service Fee,40,0,0,0,0,40
Consulta de Tier,36,0,0,1,0,37
GoTV - Novo Tarifário,36,0,0,1,0,37
Limite de envio e recepção de valores,35,0,0,0,0,35
Jackpot Internet,34,0,0,1,0,35
Give money,34,0,0,0,0,34
WFT,31,0,0,3,0,34
Friendly Voucher,34,0,0,0,0,34
Bom dia promo – Bonus,31,0,0,2,0,33
Paga Facil Resend PIN,33,0,0,0,0,33
Request Account Creation,22,0,0,10,0,32
Unlocking Request,32,0,0,0,0,32
Cannot Receive SMS,30,2,0,0,0,32
Reception of Confirmation SMS,29,0,0,2,0,31
Electronic Voucher,30,0,0,0,0,30
SIM Swap-48h barring,30,0,0,0,0,30
Used Voucher,30,0,0,0,0,30
ATM Withdrawal,17,0,0,13,0,30
Transaction Reversal – P2P,29,1,0,0,0,30
Games,29,0,0,0,0,29
Difficulty to register,26,0,0,2,0,28
Trespasse,19,0,0,9,0,28
Transfer From M-Pesa To Bank,25,0,0,3,0,28
Due Amount,26,0,0,0,0,26
Credit Limit,26,0,0,0,0,26
Manual configuration,25,0,0,0,0,25
CLIP - Caller Line Identity Presentation,24,0,0,0,0,24
M-Pesa account suspension by Spapi,22,0,0,2,0,24
Oferta de Internet diaria,24,0,0,0,0,24
Call Forward Service,24,0,0,0,0,24
Auto-troca 3G-4G,24,0,0,0,0,24
SIM Swap Auto-troca 3G-4G,23,0,0,0,0,23
Amount not received on M-Pesa Account,23,0,0,0,0,23
Recharge Procedure,22,0,0,0,0,22
SMS da Sorte,22,0,0,0,0,22
Activation Request,20,0,0,1,0,21
3G calls  -  no signal,21,0,0,0,0,21
Contactos de Parceiros,21,0,0,0,0,21
Hours and date,21,0,0,0,0,21
Smartphone 4G - Bónus,20,0,0,1,0,21
Idioma Correcto – Português,21,0,0,0,0,21
GSM USSD,17,0,0,3,0,20
Actualização do Menu,18,0,0,1,0,19
Trans Reversal – Withdraw 100-1500,16,0,0,3,0,19
SMS,18,0,0,1,0,19
Cancelled – Transfer P2P,19,0,0,0,0,19
Refund request,16,0,0,2,0,18
M-Pesa account Suspended & Dormant Status,14,0,0,4,0,18
Serviço de Conteúdos,18,0,0,0,0,18
Withdraw Cash Cancelled,18,0,0,0,0,18
Vibratoques Meu Nome,18,0,0,0,0,18
Contract -Renewal,14,2,0,1,1,18
